shstReferenceId,min_lanes,max_lanes,oneWay
00004e60296f9a9faa45248283397c28,2,2,True
0001694661ad1b8c6e9b3161d5c5ab8e,3,3,True
0001872bb9f84e74ac105ecbc2988daa,2,2,"[True, True]"
0001c03725511b71b14e1a6b11874cca,5,5,False
00022ea2c7eca3451896c8ec358ac4d1,2,2,False
00030b3b1affdbee6862ed18ba18d91d,2,2,False
000312016eb878a5744d90a01d88beeb,2,3,"[False, False]"
00040e43e020b2d01c78443b2dd421ac,3,3,True
0004f44877520bd372f71eac972135fa,2,2,False
000513b9e58c5b46282124dd85538403,2,2,True
000613b1e1cda04f6d0c6feed55714e6,2,2,False
000619909cfedfdc3ae846759247e09f,3,4,"[True, True]"
0006cd57af8646e69d3303ecf3fd572a,2,2,True
000707ebb3cad174d01130b84c5c79d6,4,4,True
0007a554c3c73d44fc4989f446486486,2,2,False
00081566dceb62bc849984821a5ff2cc,2,2,"[False, False]"
0008745249057b39d8c8060e6d3e9cac,2,2,True
000926d8cf4c10f94667f9064ab3732a,2,2,False
00092a44493a1982cc86775ef284d322,4,4,False
000a4ba6014fc731be50ba1d489d7373,2,2,False
000b45bae17bb77b8cc0cb8720e32b85,3,3,"[True, True]"
000c52714d350c96e2909c3daa4b9013,2,2,True
000e07f8cfe169d22455724e3b4e46ba,2,2,False
000f5eebf9c5eab371fd5eeebef8bf50,5,5,True
000fe8bae19cfbeeb2cf8aeb0795e94f,2,2,"[False, False]"
001019d636fb9f6df8578bb93db85c74,1,1,True
001105944b7c875780c69c92ae2fde9c,2,2,True
001155361cbd7ed3001e32fed0270b32,2,2,True
001264728fe9b0701c6930f502cd5654,5,5,False
0012813aa1c6ea3ee1461b68a48a1720,2,2,False
00138ad03299eab6e08ee02c9ead0813,2,2,"[False, False]"
00155b4845d0cf229ab3f76a8aa174c1,2,2,False
00173a9afec65e07f04fb2b26f4cd243,2,2,False
0017793a96f214ee55f32fd407d2a8c7,3,3,True
0017e5fc7cc7a266d9c9b35856044acd,1,1,True
0018e83e0cc854c89f39fb202865085a,3,3,"[False, False]"
001918459d1c402e3327a9b6ff235f35,2,2,False
0019760a2e3c8942dc68d10377285734,2,2,"[True, True, True]"
001a2497a7d9eaa442ecbf311af07997,2,2,False
001ae4a7e8d6f4b72419bcb48a82cf65,3,4,"[True, True]"
001b184462620b094371a1699175292a,2,2,True
001b3016c7b23d67602f6c06a3c6d83a,3,3,True
001c1d66dc3b96b10df5bd5d2ca979a0,2,2,False
001c962fea34b418bbd6037bd4f4bf6c,4,4,False
001d12c8922eff66c71da50868772f76,2,2,False
001d709bb93b1a0c1cb0c017eccb47bd,3,3,True
001d7bef47ee4ffcf9753bc064a77709,2,2,True
001ea33c469fa5526e6c6e147d8a5d29,2,2,False
001eccb06f30f12065a796e11d9b9b6c,2,2,True
001ee68b7abacd4dc4b7735b37426f6e,2,2,False
001f79a69f1242d7366acec4518cb877,1,1,True
001faa1f8bf0fafb4298b7438a83b506,3,4,"[True, True, True, True]"
001fac4ea16308d0bf384134048e2bca,2,3,"[False, False, False]"
002036a33931ec611a893af9d5848227,2,2,"[False, False, False]"
00206798a5dcd8ad8bd40180c939f583,2,2,False
0020cb0ed855ec1160c9036981ef9f1d,2,2,"[False, False, False, False]"
002104a7447a61c530d2ba73e6d731ad,2,2,False
00210af8dfb3b84a369f0d7b0b6bb9e1,2,3,"[True, True]"
00215715e9ea2f0ee92eddd4d1e46565,2,2,False
00248e5158e86e4fd8e059402b2b630d,4,4,True
0024a6a4225c310ad9d4f48f8271105b,4,4,False
0024bdb1ecb5fd4c3043aa3b0a133dce,2,2,True
0025a18e80e3a321a06e9efc988cd4fa,3,3,True
00268f7a1acb6ef17a38d6dd7552c63c,2,2,False
002732c33f742afd1df0cd2188bfbbe9,4,4,False
0028f2c0861703954105ca9b06f21932,2,2,False
0029d935852fffdcfa3bd4f8750ba0d7,2,2,False
002a84b9ef48d020e0a14dc9b00a5eaa,2,2,False
